"DATE","TIME PERIOD","Rate for the overnight maturity calculated as the euro short-term rate plus a spread of 8.5 basis points (EON.D.EONIA_TO.RATE)"
"2004-02-12","12 Feb 2004","2.020"
"2004-02-13","13 Feb 2004","2.020"
"2004-02-16","16 Feb 2004","2.020"
"2004-02-17","17 Feb 2004","2.020"
"2004-02-18","18 Feb 2004","2.020"
"2004-02-19","19 Feb 2004","2.020"
"2004-02-20","20 Feb 2004","2.040"
"2004-02-23","23 Feb 2004","2.050"
"2004-02-24","24 Feb 2004","2.050"
"2004-02-25","25 Feb 2004","2.050"
"2004-02-26","26 Feb 2004","2.050"
"2004-02-27","27 Feb 2004","2.060"
"2004-03-01","01 Mar 2004","2.040"
"2004-03-02","02 Mar 2004","2.030"
"2004-03-03","03 Mar 2004","1.990"
"2004-03-04","04 Mar 2004","1.880"
"2004-03-05","05 Mar 2004","1.840"
"2004-03-08","08 Mar 2004","1.900"
"2004-03-09","09 Mar 2004","1.990"
"2004-03-10","10 Mar 2004","2.020"
"2004-03-11","11 Mar 2004","2.020"
"2004-03-12","12 Mar 2004","2.020"
"2004-03-15","15 Mar 2004","2.020"
"2004-03-16","16 Mar 2004","2.010"
"2004-03-17","17 Mar 2004","2.010"
"2004-03-18","18 Mar 2004","2.000"
"2004-03-19","19 Mar 2004","2.000"
"2004-03-22","22 Mar 2004","2.010"
"2004-03-23","23 Mar 2004","2.030"
"2004-03-24","24 Mar 2004","2.050"
"2004-03-25","25 Mar 2004","2.050"
"2004-03-26","26 Mar 2004","2.050"
"2004-03-29","29 Mar 2004","2.060"
"2004-03-30","30 Mar 2004","2.050"
"2004-03-31","31 Mar 2004","2.060"
"2004-04-01","01 Apr 2004","2.020"
"2004-04-02","02 Apr 2004","2.020"
"2004-04-05","05 Apr 2004","2.260"
"2004-04-06","06 Apr 2004","2.750"
"2004-04-07","07 Apr 2004","2.040"
"2004-04-08","08 Apr 2004","2.040"
"2004-04-13","13 Apr 2004","2.040"
"2004-04-14","14 Apr 2004","2.030"
"2004-04-15","15 Apr 2004","2.030"
"2004-04-16","16 Apr 2004","2.030"
"2004-04-19","19 Apr 2004","2.020"
"2004-04-20","20 Apr 2004","2.020"
"2004-04-21","21 Apr 2004","2.020"
"2004-04-22","22 Apr 2004","2.020"
"2004-04-23","23 Apr 2004","2.020"
"2004-04-26","26 Apr 2004","2.030"
"2004-04-27","27 Apr 2004","2.030"
"2004-04-28","28 Apr 2004","2.040"
"2004-04-29","29 Apr 2004","2.040"
"2004-04-30","30 Apr 2004","2.060"
"2004-05-03","03 May 2004","2.040"
"2004-05-04","04 May 2004","2.040"
"2004-05-05","05 May 2004","2.040"
"2004-05-06","06 May 2004","2.030"
"2004-05-07","07 May 2004","1.830"
"2004-05-10","10 May 2004","1.840"
"2004-05-11","11 May 2004","2.070"
"2004-05-12","12 May 2004","2.030"
"2004-05-13","13 May 2004","2.030"
"2004-05-14","14 May 2004","2.030"
"2004-05-17","17 May 2004","2.030"
"2004-05-18","18 May 2004","2.030"
"2004-05-19","19 May 2004","2.020"
"2004-05-20","20 May 2004","2.020"
"2004-05-21","21 May 2004","2.030"
"2004-05-24","24 May 2004","2.030"
"2004-05-25","25 May 2004","2.030"
"2004-05-26","26 May 2004","2.030"
"2004-05-27","27 May 2004","2.030"
"2004-05-28","28 May 2004","2.040"
"2004-05-31","31 May 2004","2.050"
"2004-06-01","01 Jun 2004","2.040"
"2004-06-02","02 Jun 2004","2.040"
"2004-06-03","03 Jun 2004","2.090"
"2004-06-04","04 Jun 2004","2.120"
"2004-06-07","07 Jun 2004","1.980"
"2004-06-08","08 Jun 2004","1.720"
"2004-06-09","09 Jun 2004","2.030"
"2004-06-10","10 Jun 2004","2.030"
"2004-06-11","11 Jun 2004","2.030"
"2004-06-14","14 Jun 2004","2.030"
"2004-06-15","15 Jun 2004","2.030"
"2004-06-16","16 Jun 2004","2.030"
"2004-06-17","17 Jun 2004","2.030"
"2004-06-18","18 Jun 2004","2.030"
"2004-06-21","21 Jun 2004","2.030"
"2004-06-22","22 Jun 2004","2.030"
"2004-06-23","23 Jun 2004","2.030"
"2004-06-24","24 Jun 2004","2.030"
"2004-06-25","25 Jun 2004","2.040"
"2004-06-28","28 Jun 2004","2.040"
"2004-06-29","29 Jun 2004","2.050"
"2004-06-30","30 Jun 2004","2.130"
"2004-07-01","01 Jul 2004","2.040"
"2004-07-02","02 Jul 2004","2.040"
"2004-07-05","05 Jul 2004","2.110"
"2004-07-06","06 Jul 2004","2.530"
"2004-07-07","07 Jul 2004","2.040"
"2004-07-08","08 Jul 2004","2.040"
"2004-07-09","09 Jul 2004","2.040"
"2004-07-12","12 Jul 2004","2.040"
"2004-07-13","13 Jul 2004","2.040"
"2004-07-14","14 Jul 2004","2.040"
"2004-07-15","15 Jul 2004","2.040"
"2004-07-16","16 Jul 2004","2.040"
"2004-07-19","19 Jul 2004","2.040"
"2004-07-20","20 Jul 2004","2.040"
"2004-07-21","21 Jul 2004","2.040"
"2004-07-22","22 Jul 2004","2.040"
"2004-07-23","23 Jul 2004","2.040"
"2004-07-26","26 Jul 2004","2.040"
"2004-07-27","27 Jul 2004","2.040"
"2004-07-28","28 Jul 2004","2.040"
"2004-07-29","29 Jul 2004","2.050"
"2004-07-30","30 Jul 2004","2.080"
"2004-08-02","02 Aug 2004","2.050"
"2004-08-03","03 Aug 2004","2.050"
"2004-08-04","04 Aug 2004","2.050"
"2004-08-05","05 Aug 2004","2.030"
"2004-08-06","06 Aug 2004","1.930"
"2004-08-09","09 Aug 2004","2.000"
"2004-08-10","10 Aug 2004","2.160"
"2004-08-11","11 Aug 2004","2.040"
"2004-08-12","12 Aug 2004","2.040"
"2004-08-13","13 Aug 2004","2.040"
"2004-08-16","16 Aug 2004","2.040"
"2004-08-17","17 Aug 2004","2.040"
"2004-08-18","18 Aug 2004","2.040"
"2004-08-19","19 Aug 2004","2.040"
"2004-08-20","20 Aug 2004","2.040"
"2004-08-23","23 Aug 2004","2.040"
"2004-08-24","24 Aug 2004","2.040"
"2004-08-25","25 Aug 2004","2.040"
"2004-08-26","26 Aug 2004","2.040"
"2004-08-27","27 Aug 2004","2.040"
"2004-08-30","30 Aug 2004","2.040"
"2004-08-31","31 Aug 2004","2.060"
"2004-09-01","01 Sep 2004","2.040"
"2004-09-02","02 Sep 2004","2.020"
"2004-09-03","03 Sep 2004","2.010"
"2004-09-06","06 Sep 2004","2.160"
"2004-09-07","07 Sep 2004","2.170"
"2004-09-08","08 Sep 2004","2.050"
"2004-09-09","09 Sep 2004","2.040"
"2004-09-10","10 Sep 2004","2.040"
"2004-09-13","13 Sep 2004","2.040"
"2004-09-14","14 Sep 2004","2.040"
"2004-09-15","15 Sep 2004","2.040"
"2004-09-16","16 Sep 2004","2.040"
"2004-09-17","17 Sep 2004","2.040"
"2004-09-20","20 Sep 2004","2.040"
"2004-09-21","21 Sep 2004","2.040"
"2004-09-22","22 Sep 2004","2.040"
"2004-09-23","23 Sep 2004","2.040"
"2004-09-24","24 Sep 2004","2.040"
"2004-09-27","27 Sep 2004","2.040"
"2004-09-28","28 Sep 2004","2.040"
"2004-09-29","29 Sep 2004","2.040"
"2004-09-30","30 Sep 2004","2.090"
"2004-10-01","01 Oct 2004","2.050"
"2004-10-04","04 Oct 2004","2.050"
"2004-10-05","05 Oct 2004","2.100"
"2004-10-06","06 Oct 2004","2.130"
"2004-10-07","07 Oct 2004","2.120"
"2004-10-08","08 Oct 2004","2.330"
"2004-10-11","11 Oct 2004","2.770"
"2004-10-12","12 Oct 2004","2.050"
"2004-10-13","13 Oct 2004","2.050"
"2004-10-14","14 Oct 2004","2.050"
"2004-10-15","15 Oct 2004","2.060"
"2004-10-18","18 Oct 2004","2.060"
"2004-10-19","19 Oct 2004","2.060"
"2004-10-20","20 Oct 2004","2.050"
"2004-10-21","21 Oct 2004","2.050"
"2004-10-22","22 Oct 2004","2.050"
"2004-10-25","25 Oct 2004","2.050"
"2004-10-26","26 Oct 2004","2.050"
"2004-10-27","27 Oct 2004","2.060"
"2004-10-28","28 Oct 2004","2.060"
"2004-10-29","29 Oct 2004","2.090"
"2004-11-01","01 Nov 2004","2.060"
"2004-11-02","02 Nov 2004","2.060"
"2004-11-03","03 Nov 2004","2.130"
"2004-11-04","04 Nov 2004","2.240"
"2004-11-05","05 Nov 2004","2.120"
"2004-11-08","08 Nov 2004","2.020"
"2004-11-09","09 Nov 2004","2.060"
"2004-11-10","10 Nov 2004","2.070"
"2004-11-11","11 Nov 2004","2.070"
"2004-11-12","12 Nov 2004","2.080"
"2004-11-15","15 Nov 2004","2.080"
"2004-11-16","16 Nov 2004","2.080"
"2004-11-17","17 Nov 2004","2.080"
"2004-11-18","18 Nov 2004","2.070"
"2004-11-19","19 Nov 2004","2.070"
"2004-11-22","22 Nov 2004","2.080"
"2004-11-23","23 Nov 2004","2.080"
"2004-11-24","24 Nov 2004","2.080"
"2004-11-25","25 Nov 2004","2.080"
"2004-11-26","26 Nov 2004","2.080"
"2004-11-29","29 Nov 2004","2.080"
"2004-11-30","30 Nov 2004","2.100"
"2004-12-01","01 Dec 2004","2.050"
"2004-12-02","02 Dec 2004","1.890"
"2004-12-03","03 Dec 2004","1.820"
"2004-12-06","06 Dec 2004","1.830"
"2004-12-07","07 Dec 2004","1.980"
"2004-12-08","08 Dec 2004","2.070"
"2004-12-09","09 Dec 2004","2.080"
"2004-12-10","10 Dec 2004","2.090"
"2004-12-13","13 Dec 2004","2.100"
"2004-12-14","14 Dec 2004","2.100"
"2004-12-15","15 Dec 2004","2.090"
"2004-12-16","16 Dec 2004","2.080"
"2004-12-17","17 Dec 2004","2.080"
"2004-12-20","20 Dec 2004","2.080"
"2004-12-21","21 Dec 2004","2.090"
"2004-12-22","22 Dec 2004","2.080"
"2004-12-23","23 Dec 2004","2.080"
"2004-12-24","24 Dec 2004","2.080"
"2004-12-27","27 Dec 2004","2.080"
"2004-12-28","28 Dec 2004","2.080"
"2004-12-29","29 Dec 2004","2.080"
"2004-12-30","30 Dec 2004","2.110"
"2004-12-31","31 Dec 2004","2.210"
"2005-01-03","03 Jan 2005","2.090"
"2005-01-04","04 Jan 2005","2.090"
"2005-01-05","05 Jan 2005","2.080"
"2005-01-06","06 Jan 2005","2.080"
"2005-01-07","07 Jan 2005","2.080"
"2005-01-10","10 Jan 2005","2.090"
"2005-01-11","11 Jan 2005","2.090"
"2005-01-12","12 Jan 2005","2.080"
"2005-01-13","13 Jan 2005","1.980"
"2005-01-14","14 Jan 2005","1.970"
"2005-01-17","17 Jan 2005","2.120"
"2005-01-18","18 Jan 2005","2.140"
"2005-01-19","19 Jan 2005","2.080"
"2005-01-20","20 Jan 2005","2.080"
"2005-01-21","21 Jan 2005","2.080"
"2005-01-24","24 Jan 2005","2.080"
"2005-01-25","25 Jan 2005","2.080"
"2005-01-26","26 Jan 2005","2.080"
"2005-01-27","27 Jan 2005","2.080"
"2005-01-28","28 Jan 2005","2.080"
"2005-01-31","31 Jan 2005","2.090"
"2005-02-01","01 Feb 2005","2.070"
"2005-02-02","02 Feb 2005","2.010"
"2005-02-03","03 Feb 2005","2.050"
"2005-02-04","04 Feb 2005","2.040"
"2005-02-07","07 Feb 2005","2.030"
"2005-02-08","08 Feb 2005","2.070"
"2005-02-09","09 Feb 2005","2.070"
"2005-02-10","10 Feb 2005","2.070"
"2005-02-11","11 Feb 2005","2.070"
"2005-02-14","14 Feb 2005","2.070"
"2005-02-15","15 Feb 2005","2.070"
"2005-02-16","16 Feb 2005","2.060"
"2005-02-17","17 Feb 2005","2.060"
"2005-02-18","18 Feb 2005","2.060"
"2005-02-21","21 Feb 2005","2.060"
"2005-02-22","22 Feb 2005","2.060"
"2005-02-23","23 Feb 2005","2.060"
"2005-02-24","24 Feb 2005","2.060"
"2005-02-25","25 Feb 2005","2.060"
"2005-02-28","28 Feb 2005","2.070"
"2005-03-01","01 Mar 2005","2.060"
"2005-03-02","02 Mar 2005","2.060"
"2005-03-03","03 Mar 2005","2.050"
"2005-03-04","04 Mar 2005","2.020"
"2005-03-07","07 Mar 2005","1.980"
"2005-03-08","08 Mar 2005","2.010"
"2005-03-09","09 Mar 2005","2.060"
"2005-03-10","10 Mar 2005","2.060"
"2005-03-11","11 Mar 2005","2.060"
"2005-03-14","14 Mar 2005","2.060"
"2005-03-15","15 Mar 2005","2.060"
"2005-03-16","16 Mar 2005","2.060"
"2005-03-17","17 Mar 2005","2.060"
"2005-03-18","18 Mar 2005","2.060"
"2005-03-21","21 Mar 2005","2.060"
"2005-03-22","22 Mar 2005","2.070"
"2005-03-23","23 Mar 2005","2.070"
"2005-03-24","24 Mar 2005","2.070"
"2005-03-29","29 Mar 2005","2.070"
"2005-03-30","30 Mar 2005","2.070"
"2005-03-31","31 Mar 2005","2.120"
"2005-04-01","01 Apr 2005","2.070"
"2005-04-04","04 Apr 2005","2.070"
"2005-04-05","05 Apr 2005","2.070"
"2005-04-06","06 Apr 2005","2.070"
"2005-04-07","07 Apr 2005","2.070"
"2005-04-08","08 Apr 2005","2.060"
"2005-04-11","11 Apr 2005","2.090"
"2005-04-12","12 Apr 2005","2.180"
"2005-04-13","13 Apr 2005","2.070"
"2005-04-14","14 Apr 2005","2.070"
"2005-04-15","15 Apr 2005","2.070"
"2005-04-18","18 Apr 2005","2.070"
"2005-04-19","19 Apr 2005","2.070"
"2005-04-20","20 Apr 2005","2.060"
"2005-04-21","21 Apr 2005","2.060"
"2005-04-22","22 Apr 2005","2.060"
"2005-04-25","25 Apr 2005","2.070"
"2005-04-26","26 Apr 2005","2.070"
"2005-04-27","27 Apr 2005","2.070"
"2005-04-28","28 Apr 2005","2.080"
"2005-04-29","29 Apr 2005","2.090"
"2005-05-02","02 May 2005","2.070"
"2005-05-03","03 May 2005","2.070"
"2005-05-04","04 May 2005","2.080"
"2005-05-05","05 May 2005","2.090"
"2005-05-06","06 May 2005","2.060"
"2005-05-09","09 May 2005","2.050"
"2005-05-10","10 May 2005","1.990"
"2005-05-11","11 May 2005","2.070"
"2005-05-12","12 May 2005","2.070"
"2005-05-13","13 May 2005","2.070"
"2005-05-16","16 May 2005","2.070"
"2005-05-17","17 May 2005","2.070"
"2005-05-18","18 May 2005","2.070"
"2005-05-19","19 May 2005","2.070"
"2005-05-20","20 May 2005","2.070"
"2005-05-23","23 May 2005","2.070"
"2005-05-24","24 May 2005","2.080"
"2005-05-25","25 May 2005","2.080"
"2005-05-26","26 May 2005","2.080"
"2005-05-27","27 May 2005","2.080"
"2005-05-30","30 May 2005","2.080"
"2005-05-31","31 May 2005","2.100"
"2005-06-01","01 Jun 2005","2.080"
"2005-06-02","02 Jun 2005","2.070"
"2005-06-03","03 Jun 2005","2.040"
"2005-06-06","06 Jun 2005","1.980"
"2005-06-07","07 Jun 2005","1.780"
"2005-06-08","08 Jun 2005","2.080"
"2005-06-09","09 Jun 2005","2.080"
"2005-06-10","10 Jun 2005","2.080"
"2005-06-13","13 Jun 2005","2.080"
"2005-06-14","14 Jun 2005","2.080"
"2005-06-15","15 Jun 2005","2.070"
"2005-06-16","16 Jun 2005","2.070"
"2005-06-17","17 Jun 2005","2.070"
"2005-06-20","20 Jun 2005","2.070"
"2005-06-21","21 Jun 2005","2.070"
"2005-06-22","22 Jun 2005","2.070"
"2005-06-23","23 Jun 2005","2.070"
"2005-06-24","24 Jun 2005","2.080"
"2005-06-27","27 Jun 2005","2.090"
"2005-06-28","28 Jun 2005","2.090"
"2005-06-29","29 Jun 2005","2.100"
"2005-06-30","30 Jun 2005","2.170"
"2005-07-01","01 Jul 2005","2.080"
"2005-07-04","04 Jul 2005","2.080"
"2005-07-05","05 Jul 2005","2.080"
"2005-07-06","06 Jul 2005","2.080"
"2005-07-07","07 Jul 2005","2.110"
"2005-07-08","08 Jul 2005","2.030"
"2005-07-11","11 Jul 2005","1.970"
"2005-07-12","12 Jul 2005","2.060"
"2005-07-13","13 Jul 2005","2.080"
"2005-07-14","14 Jul 2005","2.080"
"2005-07-15","15 Jul 2005","2.080"
"2005-07-18","18 Jul 2005","2.080"
"2005-07-19","19 Jul 2005","2.080"
"2005-07-20","20 Jul 2005","2.070"
"2005-07-21","21 Jul 2005","2.070"
"2005-07-22","22 Jul 2005","2.070"
"2005-07-25","25 Jul 2005","2.080"
"2005-07-26","26 Jul 2005","2.080"
"2005-07-27","27 Jul 2005","2.080"
"2005-07-28","28 Jul 2005","2.080"
"2005-07-29","29 Jul 2005","2.110"
"2005-08-01","01 Aug 2005","2.080"
"2005-08-02","02 Aug 2005","2.080"
"2005-08-03","03 Aug 2005","2.080"
"2005-08-04","04 Aug 2005","2.090"
"2005-08-05","05 Aug 2005","2.090"
"2005-08-08","08 Aug 2005","2.070"
"2005-08-09","09 Aug 2005","1.630"
"2005-08-10","10 Aug 2005","2.080"
"2005-08-11","11 Aug 2005","2.080"
"2005-08-12","12 Aug 2005","2.080"
"2005-08-15","15 Aug 2005","2.080"
"2005-08-16","16 Aug 2005","2.080"
"2005-08-17","17 Aug 2005","2.080"
"2005-08-18","18 Aug 2005","2.080"
"2005-08-19","19 Aug 2005","2.080"
"2005-08-22","22 Aug 2005","2.080"
"2005-08-23","23 Aug 2005","2.080"
"2005-08-24","24 Aug 2005","2.080"
"2005-08-25","25 Aug 2005","2.080"
"2005-08-26","26 Aug 2005","2.080"
"2005-08-29","29 Aug 2005","2.080"
"2005-08-30","30 Aug 2005","2.070"
"2005-08-31","31 Aug 2005","2.090"
"2005-09-01","01 Sep 2005","2.080"
"2005-09-02","02 Sep 2005","2.090"
"2005-09-05","05 Sep 2005","2.170"
"2005-09-06","06 Sep 2005","2.180"
"2005-09-07","07 Sep 2005","2.080"
"2005-09-08","08 Sep 2005","2.080"
"2005-09-09","09 Sep 2005","2.080"
"2005-09-12","12 Sep 2005","2.080"
"2005-09-13","13 Sep 2005","2.080"
"2005-09-14","14 Sep 2005","2.080"
"2005-09-15","15 Sep 2005","2.080"
"2005-09-16","16 Sep 2005","2.080"
"2005-09-19","19 Sep 2005","2.080"
"2005-09-20","20 Sep 2005","2.080"
"2005-09-21","21 Sep 2005","2.080"
"2005-09-22","22 Sep 2005","2.080"
"2005-09-23","23 Sep 2005","2.080"
"2005-09-26","26 Sep 2005","2.080"
"2005-09-27","27 Sep 2005","2.090"
"2005-09-28","28 Sep 2005","2.090"
"2005-09-29","29 Sep 2005","2.100"
"2005-09-30","30 Sep 2005","2.150"
"2005-10-03","03 Oct 2005","2.090"
"2005-10-04","04 Oct 2005","2.090"
"2005-10-05","05 Oct 2005","2.100"
"2005-10-06","06 Oct 2005","2.100"
"2005-10-07","07 Oct 2005","2.020"
"2005-10-10","10 Oct 2005","1.960"
"2005-10-11","11 Oct 2005","1.930"
"2005-10-12","12 Oct 2005","2.080"
"2005-10-13","13 Oct 2005","2.080"
"2005-10-14","14 Oct 2005","2.080"
"2005-10-17","17 Oct 2005","2.080"
"2005-10-18","18 Oct 2005","2.080"
"2005-10-19","19 Oct 2005","2.080"
"2005-10-20","20 Oct 2005","2.080"
"2005-10-21","21 Oct 2005","2.080"
"2005-10-24","24 Oct 2005","2.080"
"2005-10-25","25 Oct 2005","2.080"
"2005-10-26","26 Oct 2005","2.080"
"2005-10-27","27 Oct 2005","2.080"
"2005-10-28","28 Oct 2005","2.070"
"2005-10-31","31 Oct 2005","2.090"
"2005-11-01","01 Nov 2005","2.070"
"2005-11-02","02 Nov 2005","2.070"
"2005-11-03","03 Nov 2005","2.070"
"2005-11-04","04 Nov 2005","2.090"
"2005-11-07","07 Nov 2005","2.090"
"2005-11-08","08 Nov 2005","1.870"
"2005-11-09","09 Nov 2005","2.080"
"2005-11-10","10 Nov 2005","2.080"
"2005-11-11","11 Nov 2005","2.080"
"2005-11-14","14 Nov 2005","2.080"
"2005-11-15","15 Nov 2005","2.080"
"2005-11-16","16 Nov 2005","2.080"
"2005-11-17","17 Nov 2005","2.080"
"2005-11-18","18 Nov 2005","2.080"
"2005-11-21","21 Nov 2005","2.110"
"2005-11-22","22 Nov 2005","2.160"
"2005-11-23","23 Nov 2005","2.190"
"2005-11-24","24 Nov 2005","2.160"
"2005-11-25","25 Nov 2005","2.110"
"2005-11-28","28 Nov 2005","2.110"
"2005-11-29","29 Nov 2005","2.090"
"2005-11-30","30 Nov 2005","2.060"
"2005-12-01","01 Dec 2005","2.040"
"2005-12-02","02 Dec 2005","1.800"
"2005-12-05","05 Dec 2005","1.850"
"2005-12-06","06 Dec 2005","2.320"
"2005-12-07","07 Dec 2005","2.320"
"2005-12-08","08 Dec 2005","2.320"
"2005-12-09","09 Dec 2005","2.320"
"2005-12-12","12 Dec 2005","2.320"
"2005-12-13","13 Dec 2005","2.320"
"2005-12-14","14 Dec 2005","2.320"
"2005-12-15","15 Dec 2005","2.320"
"2005-12-16","16 Dec 2005","2.330"
"2005-12-19","19 Dec 2005","2.330"
"2005-12-20","20 Dec 2005","2.330"
"2005-12-21","21 Dec 2005","2.340"
"2005-12-22","22 Dec 2005","2.400"
"2005-12-23","23 Dec 2005","2.350"
"2005-12-27","27 Dec 2005","2.350"
"2005-12-28","28 Dec 2005","2.350"
"2005-12-29","29 Dec 2005","2.340"
"2005-12-30","30 Dec 2005","2.420"
"2006-01-02","02 Jan 2006","2.350"
"2006-01-03","03 Jan 2006","2.340"
"2006-01-04","04 Jan 2006","2.340"
"2006-01-05","05 Jan 2006","2.340"
"2006-01-06","06 Jan 2006","2.340"
"2006-01-09","09 Jan 2006","2.340"
"2006-01-10","10 Jan 2006","2.340"
"2006-01-11","11 Jan 2006","2.340"
"2006-01-12","12 Jan 2006","2.320"
"2006-01-13","13 Jan 2006","2.210"
"2006-01-16","16 Jan 2006","2.310"
"2006-01-17","17 Jan 2006","2.300"
"2006-01-18","18 Jan 2006","2.330"
"2006-01-19","19 Jan 2006","2.330"
"2006-01-20","20 Jan 2006","2.330"
"2006-01-23","23 Jan 2006","2.330"
"2006-01-24","24 Jan 2006","2.330"
"2006-01-25","25 Jan 2006","2.330"
"2006-01-26","26 Jan 2006","2.330"
"2006-01-27","27 Jan 2006","2.330"
"2006-01-30","30 Jan 2006","2.330"
"2006-01-31","31 Jan 2006","2.340"
"2006-02-01","01 Feb 2006","2.330"
"2006-02-02","02 Feb 2006","2.340"
"2006-02-03","03 Feb 2006","2.400"
"2006-02-06","06 Feb 2006","2.380"
"2006-02-07","07 Feb 2006","2.340"
"2006-02-08","08 Feb 2006","2.340"
"2006-02-09","09 Feb 2006","2.340"
"2006-02-10","10 Feb 2006","2.340"
"2006-02-13","13 Feb 2006","2.340"
"2006-02-14","14 Feb 2006","2.340"
"2006-02-15","15 Feb 2006","2.340"
"2006-02-16","16 Feb 2006","2.340"
"2006-02-17","17 Feb 2006","2.340"
"2006-02-20","20 Feb 2006","2.340"
"2006-02-21","21 Feb 2006","2.340"
"2006-02-22","22 Feb 2006","2.340"
"2006-02-23","23 Feb 2006","2.350"
"2006-02-24","24 Feb 2006","2.350"
"2006-02-27","27 Feb 2006","2.360"
"2006-02-28","28 Feb 2006","2.400"
"2006-03-01","01 Mar 2006","2.370"
"2006-03-02","02 Mar 2006","2.380"
"2006-03-03","03 Mar 2006","2.350"
"2006-03-06","06 Mar 2006","2.290"
"2006-03-07","07 Mar 2006","2.080"
"2006-03-08","08 Mar 2006","2.580"
"2006-03-09","09 Mar 2006","2.580"
"2006-03-10","10 Mar 2006","2.580"
"2006-03-13","13 Mar 2006","2.580"
"2006-03-14","14 Mar 2006","2.580"
"2006-03-15","15 Mar 2006","2.580"
"2006-03-16","16 Mar 2006","2.580"
"2006-03-17","17 Mar 2006","2.580"
"2006-03-20","20 Mar 2006","2.580"
"2006-03-21","21 Mar 2006","2.580"
"2006-03-22","22 Mar 2006","2.580"
"2006-03-23","23 Mar 2006","2.580"
"2006-03-24","24 Mar 2006","2.580"
"2006-03-27","27 Mar 2006","2.580"
"2006-03-28","28 Mar 2006","2.580"
"2006-03-29","29 Mar 2006","2.580"
"2006-03-30","30 Mar 2006","2.590"
"2006-03-31","31 Mar 2006","2.620"
"2006-04-03","03 Apr 2006","2.590"
"2006-04-04","04 Apr 2006","2.590"
"2006-04-05","05 Apr 2006","2.610"
"2006-04-06","06 Apr 2006","2.670"
"2006-04-07","07 Apr 2006","2.690"
"2006-04-10","10 Apr 2006","2.710"
"2006-04-11","11 Apr 2006","2.630"
"2006-04-12","12 Apr 2006","2.600"
"2006-04-13","13 Apr 2006","2.610"
"2006-04-18","18 Apr 2006","2.610"
"2006-04-19","19 Apr 2006","2.610"
"2006-04-20","20 Apr 2006","2.620"
"2006-04-21","21 Apr 2006","2.620"
"2006-04-24","24 Apr 2006","2.620"
"2006-04-25","25 Apr 2006","2.630"
"2006-04-26","26 Apr 2006","2.630"
"2006-04-27","27 Apr 2006","2.620"
"2006-04-28","28 Apr 2006","2.650"
"2006-05-02","02 May 2006","2.620"
"2006-05-03","03 May 2006","2.590"
"2006-05-04","04 May 2006","2.490"
"2006-05-05","05 May 2006","2.390"
"2006-05-08","08 May 2006","2.430"
"2006-05-09","09 May 2006","2.520"
"2006-05-10","10 May 2006","2.600"
"2006-05-11","11 May 2006","2.610"
"2006-05-12","12 May 2006","2.610"
"2006-05-15","15 May 2006","2.610"
"2006-05-16","16 May 2006","2.600"
"2006-05-17","17 May 2006","2.600"
"2006-05-18","18 May 2006","2.600"
"2006-05-19","19 May 2006","2.600"
"2006-05-22","22 May 2006","2.600"
"2006-05-23","23 May 2006","2.600"
"2006-05-24","24 May 2006","2.600"
"2006-05-25","25 May 2006","2.600"
"2006-05-26","26 May 2006","2.600"
"2006-05-29","29 May 2006","2.600"
"2006-05-30","30 May 2006","2.600"
"2006-05-31","31 May 2006","2.620"
"2006-06-01","01 Jun 2006","2.600"
"2006-06-02","02 Jun 2006","2.590"
"2006-06-05","05 Jun 2006","2.570"
"2006-06-06","06 Jun 2006","2.550"
"2006-06-07","07 Jun 2006","2.470"
"2006-06-08","08 Jun 2006","2.470"
"2006-06-09","09 Jun 2006","2.480"
"2006-06-12","12 Jun 2006","2.500"
"2006-06-13","13 Jun 2006","2.520"
"2006-06-14","14 Jun 2006","2.500"
"2006-06-15","15 Jun 2006","2.840"
"2006-06-16","16 Jun 2006","2.840"
"2006-06-19","19 Jun 2006","2.840"
"2006-06-20","20 Jun 2006","2.840"
"2006-06-21","21 Jun 2006","2.840"
"2006-06-22","22 Jun 2006","2.830"
"2006-06-23","23 Jun 2006","2.830"
"2006-06-26","26 Jun 2006","2.830"
"2006-06-27","27 Jun 2006","2.840"
"2006-06-28","28 Jun 2006","2.840"
"2006-06-29","29 Jun 2006","2.840"
"2006-06-30","30 Jun 2006","2.890"
"2006-07-03","03 Jul 2006","2.830"
"2006-07-04","04 Jul 2006","2.820"
"2006-07-05","05 Jul 2006","2.810"
"2006-07-06","06 Jul 2006","2.800"
"2006-07-07","07 Jul 2006","2.780"
"2006-07-10","10 Jul 2006","2.780"
"2006-07-11","11 Jul 2006","2.760"
"2006-07-12","12 Jul 2006","2.830"
"2006-07-13","13 Jul 2006","2.830"
"2006-07-14","14 Jul 2006","2.830"
"2006-07-17","17 Jul 2006","2.830"
"2006-07-18","18 Jul 2006","2.830"
"2006-07-19","19 Jul 2006","2.830"
"2006-07-20","20 Jul 2006","2.830"
"2006-07-21","21 Jul 2006","2.830"
"2006-07-24","24 Jul 2006","2.830"
"2006-07-25","25 Jul 2006","2.830"
"2006-07-26","26 Jul 2006","2.820"
"2006-07-27","27 Jul 2006","2.810"
"2006-07-28","28 Jul 2006","2.780"
"2006-07-31","31 Jul 2006","2.800"
"2006-08-01","01 Aug 2006","2.780"
"2006-08-02","02 Aug 2006","2.770"
"2006-08-03","03 Aug 2006","2.750"
"2006-08-04","04 Aug 2006","2.700"
